¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
17755,1.14.12.18,"biphenyl 2,3-dioxygenase","2,4,4'-trichlorobiphenyl",NADH,H+,O2,NA,NA,"2,3-dihydro-2,3-dihydroxy-2',4,4'-trichlorobiphenyl",NAD+,NA,NA,NA,NA,NA,NA
17756,1.1.1.1,alcohol dehydrogenase,2-acetylpyrrole,NADH,H+,NA,NA,NA,1-(1H-pyrrol-2-yl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17757,1.1.1.1,alcohol dehydrogenase,2-decanone,NADH,H+,NA,NA,NA,(S)-2-decanol,NAD+,NA,NA,NA,NA,NA,NA
17758,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,2-decanone,NADH,H+,NA,NA,NA,(S)-2-decanol,NAD+,NA,NA,NA,NA,NA,NA
17759,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,3'-fluoroacetophenone,NADH,H+,NA,NA,NA,(1S)-1-(3-fluorophenyl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17760,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,4'-acetoxy acetophenone,NADH,H+,NA,NA,NA,(1S)-1-(4-acetoxyphenyl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17761,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,4'-bromoacetophenone,NADH,H+,NA,NA,NA,(1S)-1-(4-bromophenyl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17762,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,4'-chloroacetophenone,NADH,H+,NA,NA,NA,(1S)-1-(4-chlorophenyl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17763,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,4'-iodoacetophenone,NADH,H+,NA,NA,NA,(1S)-1-(4-iodophenyl)ethanol,NAD+,NA,NA,NA,NA,NA,NA
17764,1.1.1.1,alcohol dehydrogenase,4'-chlorobutyrophenone,NADH,H+,NA,NA,NA,1-(4-chlorophenyl)butan-1-ol,NAD+,NA,NA,NA,NA,NA,NA
17765,1.1.1.213,3alpha-hydroxysteroid 3-dehydrogenase (Re-specific),5beta-pregnane-20alpha-ol-3-one,NADH,H+,NA,NA,NA,"5beta-pregnane-3,20alpha-diol",NAD+,NA,NA,NA,NA,NA,NA
17766,1.1.1.50,3alpha-hydroxysteroid 3-dehydrogenase (Si-specific),5beta-pregnane-20alpha-ol-3-one,NADH,H+,NA,NA,NA,"5beta-pregnane-3,20alpha-diol",NAD+,NA,NA,NA,NA,NA,NA
17767,1.1.1.B3,(S)-specific secondary alcohol dehydrogenase,6-methyl-5-hepten-2-one,NADH,H+,NA,NA,NA,(S)-6-methyl-5-hepten-2-ol,NAD+,NA,NA,NA,NA,NA,NA
17768,1.1.1.B4,(R)-specific secondary alcohol dehydrogenase (NADH),6-methyl-5-hepten-2-one,NADH,H+,NA,NA,NA,(S)-6-methyl-5-hepten-2-ol,NAD+,NA,NA,NA,NA,NA,NA
17769,1.1.1.1,alcohol dehydrogenase,benzyloxycarbonyl-3-pyrrolidinone,NADH,H+,NA,NA,NA,(S)-benzyloxycarbonyl-3-pyrrolidinol,NAD+,NA,NA,NA,NA,NA,NA
17770,1.3.1.24,biliverdin reductase,biliverdin IXalpha,NADH,H+,NA,NA,NA,bilirubin IXalpha,NAD+,NA,NA,NA,NA,NA,NA
17771,1.5.1.22,Strombine dehydrogenase,Gly,2-ketobutyrate,NADH,H+,NA,NA,2-[(carboxymethyl)amino]butanoic acid,NAD+,H2O,NA,NA,NA,NA,NA
17772,1.5.1.22,Strombine dehydrogenase,Gly,glyoxylate,NADH,H+,NA,NA,[(carboxymethyl)amino]propanedioic acid,NAD+,H2O,NA,NA,NA,NA,NA
17773,1.5.1.22,Strombine dehydrogenase,L-Ala,2-ketobutyrate,NADH,H+,NA,NA,2-[[(1S)-1-carboxyethyl]amino]butanoic acid,NAD+,H2O,NA,NA,NA,NA,NA
17774,1.5.1.22,Strombine dehydrogenase,L-Ala,glyoxylate,NADH,H+,NA,NA,N-(carboxymethyl)-L-Ala,NAD+,H2O,NA,NA,NA,NA,NA
17775,1.5.1.22,Strombine dehydrogenase,L-Ala,oxaloacetate,NADH,H+,NA,NA,[[(1S)-1-carboxyethyl]amino]propanedioic acid,NAD+,H2O,NA,NA,NA,NA,NA
17776,1.5.1.22,Strombine dehydrogenase,L-Cys,pyruvate,NADH,H+,NA,NA,N-(1-carboxyethyl)-L-Cys,NAD+,H2O,NA,NA,NA,NA,NA
17777,1.5.1.22,Strombine dehydrogenase,L-Ser,pyruvate,NADH,H+,NA,NA,N-(1-carboxyethyl)-L-Ser,NAD+,H2O,NA,NA,NA,NA,NA
17778,1.5.1.22,Strombine dehydrogenase,L-Val,pyruvate,NADH,H+,NA,NA,N-(1-carboxyethyl)-L-Val,NAD+,H2O,NA,NA,NA,NA,NA
17779,1.1.1.1,alcohol dehydrogenase,N-benzyl-3-piperidone,NADH,H+,NA,NA,NA,N-benzylpiperidin-3-ol,NAD+,NA,NA,NA,NA,NA,NA
17780,1.1.1.1,alcohol dehydrogenase,N-benzyl-3-pyrrolidinone,NADH,H+,NA,NA,NA,(R)-N-benzyl-3-pyrrolidinol,NAD+,NA,NA,NA,NA,NA,NA
17781,1.1.1.1,alcohol dehydrogenase,N-benzyl-4-piperidone,NADH,H+,NA,NA,NA,N-benzylpiperidin-4-ol,NAD+,NA,NA,NA,NA,NA,NA
17782,1.1.1.1,alcohol dehydrogenase,N-tert-butoxycarbonyl-3-pyrrolidinone,NADH,H+,NA,NA,NA,(S)-N-tert-butoxycarbonyl-3-pyrrolidinol,NAD+,NA,NA,NA,NA,NA,NA
17783,1.1.1.1,alcohol dehydrogenase,p-nitrobenzyloxycarbonyl-3-pyrrolidinone,NADH,H+,NA,NA,NA,(S)-N-p-nitrobenzyloxycarbonyl-3-pyrrolidinol,NAD+,NA,NA,NA,NA,NA,NA
17784,1.14.13.230,butane monooxygenase (soluble),hexane,NADH,H+,O2,NA,NA,hexan-1-ol,NAD+,H2O,NA,NA,NA,NA,NA
17785,1.1.1.1,alcohol dehydrogenase,1-hexanol,NAD+,H2O,NA,NA,NA,hexanoic acid,NADH,H+,NA,NA,NA,NA,NA
17786,1.1.1.110,aromatic 2-oxoacid reductase,pyruvate,NADH,H+,NA,NA,NA,lactate,NAD+,NA,NA,NA,NA,NA,NA
17787,1.1.1.27,L-lactate dehydrogenase,pyruvate,NADH,H+,NA,NA,NA,lactate,NAD+,NA,NA,NA,NA,NA,NA
17788,1.1.1.345,D-2-hydroxyacid dehydrogenase (NAD+),pyruvate,NADH,H+,NA,NA,NA,lactate,NAD+,NA,NA,NA,NA,NA,NA
17789,1.1.1.37,malate dehydrogenase,pyruvate,NADH,H+,NA,NA,NA,lactate,NAD+,NA,NA,NA,NA,NA,NA
17790,1.1.1.337,L-2-hydroxycarboxylate dehydrogenase (NAD+),glyoxylate,NADH,H+,NA,NA,NA,2-hydroxypropanoate,NAD+,NA,NA,NA,NA,NA,NA
17791,1.2.1.3,aldehyde dehydrogenase (NAD+),2-hydroxy-3-nitrobenzaldehyde,NAD+,H2O,NA,NA,NA,2-hydroxy-3-nitrobenzoic acid,NADH,H+,NA,NA,NA,NA,NA
17792,1.2.1.65,salicylaldehyde dehydrogenase,5-chlorosalicylaldehyde,NAD+,H2O,NA,NA,NA,5-chlorosalicylate,NADH,H+,NA,NA,NA,NA,NA
17793,1.14.15.3,alkane 1-monooxygenase,n-octane,NADH,H+,O2,NA,NA,n-octanol,NAD+,H2O,NA,NA,NA,NA,NA
17794,1.1.1.1,alcohol dehydrogenase,1-octanol,NAD+,H2O,NA,NA,NA,octanoic acid,NADH,H+,NA,NA,NA,NA,NA
17795,1.1.1.192,long-chain-alcohol dehydrogenase,1-octanol,NAD+,H2O,NA,NA,NA,octanoic acid,NADH,H+,NA,NA,NA,NA,NA
17796,1.14.12.18,"biphenyl 2,3-dioxygenase","5,7-dihydroxyflavone",NADH,H+,O2,NA,NA,"2-(2,3-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one",NAD+,NA,NA,NA,NA,NA,NA
17797,1.14.12.18,"biphenyl 2,3-dioxygenase",7-hydroxyflavone,NADH,H+,O2,NA,NA,"2-(2,3-dihydroxyphenyl)-7-hydroxy-chromen-4-one",NAD+,NA,NA,NA,NA,NA,NA
17798,1.14.19.21,cholesterol 7-desaturase,5alpha-cholest-22-en-3beta-ol,O2,NADH,H+,NA,NA,"5alpha-cholesta-7,22-dien-3beta-ol",NAD+,H2O,NA,NA,NA,NA,NA
17799,1.1.1.1,alcohol dehydrogenase,(S)-4-phenylbutan-2-ol,NAD+,NA,NA,NA,NA,benzylacetone,NADH,H+,NA,NA,NA,NA,NA
17800,1.1.1.50,3alpha-hydroxysteroid 3-dehydrogenase (Si-specific),"3alpha,17beta-androstene-3,17-diol",NAD+,NA,NA,NA,NA,dihydrotestosterone,NADH,H+,NA,NA,NA,NA,NA
17801,1.2.1.3,aldehyde dehydrogenase (NAD+),4-dimethylamino-1-naphthaldehyde,NAD+,H2O,NA,NA,NA,4-dimethylamino-1-naphthoic acid,NADH,H+,NA,NA,NA,NA,NA
17802,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),methyl 4-formylbenzoate,NAD+,H2O,NA,NA,NA,4-(methoxycarbonyl)benzoate,NADH,H+,NA,NA,NA,NA,NA
17803,1.14.19.21,cholesterol 7-desaturase,"cholesta-5,22-dien-3beta-ol",O2,NADH,H+,NA,NA,"cholesta-5,7,22-trien-3beta-ol",NAD+,H2O,NA,NA,NA,NA,NA
17804,1.14.13.29,4-nitrophenol 2-monooxygenase,4-nitrocatechol,NADH,H+,O2,NA,NA,"4-nitrobenzene-1,2,3-triol",NAD+,H2O,NA,NA,NA,NA,NA
17805,1.1.1.376,L-arabinose 1-dehydrogenase [NAD(P)+],D-fucose,NAD+,NA,NA,NA,NA,"D-fucono-1,4-lactone",NADH,H+,NA,NA,NA,NA,NA
17806,1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase,pyridine dicarboxylate,NADH,H+,NA,NA,NA,reduced pyridine dicarboxylate,NAD+,NA,NA,NA,NA,NA,NA
17807,1.1.1.395,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase,taurocholic acid,NAD+,NA,NA,NA,NA,3-oxotaurocholic acid,NADH,H+,NA,NA,NA,NA,NA
17808,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),glyoxylic acid,NAD+,H2O,NA,NA,NA,2-phenylbenzoate,NADH,H+,NA,NA,NA,NA,NA
17809,1.2.1.31,L-aminoadipate-semialdehyde dehydrogenase,Nalpha-benzyloxycarbonyl-L-aminoadipate-delta-semialdehyde,NAD+,H2O,NA,NA,NA,Nalpha-benzyloxycarbonyl-L-aminoadipate,NADH,H+,NA,NA,NA,NA,NA
17810,1.8.1.8,protein-disulfide reductase,NADH,"pantethine 4',4''-diphosphate",H+,NA,NA,NA,NAD+,4'-phosphopantetheine,NA,NA,NA,NA,NA,NA
17811,1.1.1.71,alcohol dehydrogenase [NAD(P)+],acetoin,NAD+,NA,NA,NA,NA,"2,3-butanediol",NADH,H+,NA,NA,NA,NA,NA
17812,1.1.1.303,diacetyl reductase [(R)-acetoin forming],"1,2-cyclohexanedione",NADH,H+,NA,NA,NA,(R)-2-hydroxy-1-cyclohexanone,NAD+,NA,NA,NA,NA,NA,NA
17813,1.1.1.423,"(1R,2S)-ephedrine 1-dehydrogenase",2-thenoylacetonitrile,NADH,H+,NA,NA,NA,(2R)-hydroxy(thiophen-2-yl)acetonitrile,NAD+,NA,NA,NA,NA,NA,NA
17814,1.14.12.18,"biphenyl 2,3-dioxygenase",isoflavone,O2,NADH,H+,NA,NA,"2',3'-dihydro-2',3'-cis-dihydroxyflavone",NAD+,NA,NA,NA,NA,NA,NA
17815,1.2.1.36,retinal dehydrogenase,"2,4-decadienal",NAD+,H2O,NA,NA,NA,"2,4-decadienoate",NADH,H+,NA,NA,NA,NA,NA
17816,1.5.1.34,"6,7-dihydropteridine reductase",6-methyl-dihydropterin,NADH,H+,NA,NA,NA,6-methyl-tetrahydropterin,NAD+,NA,NA,NA,NA,NA,NA
17817,1.5.1.34,"6,7-dihydropteridine reductase","quinoid 6-methyl-7,8-dihydropterin",NADH,H+,NA,NA,NA,"6-methyl-5,6,7,8-tetrahydropterin",NAD+,NA,NA,NA,NA,NA,NA
17818,1.5.1.34,"6,7-dihydropteridine reductase","quinonoid 6-methyl-7,8-dihydropterin",NADH,H+,NA,NA,NA,"6-methyl-5,6,7,8-tetrahydropterin",NAD+,NA,NA,NA,NA,NA,NA
17819,1.14.12.22,"carbazole 1,9a-dioxygenase",phenoxathiin,NADH,H+,O2,NA,NA,"2,2',3-trihydroxydiphenyl sulfide",NAD+,NA,NA,NA,NA,NA,NA
17820,1.14.12.22,"carbazole 1,9a-dioxygenase",xanthene,NADH,H+,O2,NA,NA,"2,2',3-trihydroxydiphenylmethane",NAD+,NA,NA,NA,NA,NA,NA
17821,1.2.1.23,2-oxoaldehyde dehydrogenase (NAD+),2-dehydro-3-deoxy-D-glucose,NAD+,H2O,NA,NA,NA,2-dehydro-3-deoxy-D-gluconate,NADH,H+,NA,NA,NA,NA,NA
17822,1.1.1.1,alcohol dehydrogenase,DL-glyceraldehyde,H+,NA,NA,NA,NA,glycerol,NAD+,NA,NA,NA,NA,NA,NA
17823,5.3.99.2,Prostaglandin-D synthase,"(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13-dienoate",GSH,NA,NA,NA,NA,"(5Z,13E)-(15S)-9alpha,15-dihydroxy-11-oxoprosta-5,13-dienoate",GSSG,H+,NA,NA,NA,NA,NA
17824,1.1.1.67,mannitol 2-dehydrogenase,D-fructose,polyethylenimine-NH-succinyl-NADH,H+,NA,NA,NA,D-mannitol,polyethylenimine-NH-succinyl-NAD+,NA,NA,NA,NA,NA,NA
17825,1.1.1.1,alcohol dehydrogenase,butan-1-ol,NAD+,NA,NA,NA,NA,butanal,acycloNADH,H+,NA,NA,NA,NA,NA
17826,1.14.15.25,p-cymene methyl-monooxygenase,4-chlorostyrene,O2,reduced ferredoxin [iron-sulfur] cluster,H+,NA,NA,4-chlorostyrene oxide,oxidized ferredoxin [iron-sulfur] cluster,H2O,NA,NA,NA,NA,NA
17827,4.1.1.88,biotin-independent malonate decarboxylase,glutarate,H+,NA,NA,NA,NA,butanoate,CO2,NA,NA,NA,NA,NA,NA
17828,4.99.1.1,protoporphyrin ferrochelatase,hemin,H+,NA,NA,NA,NA,mesoporphyrin IX,Zn2+,NA,NA,NA,NA,NA,NA
17829,4.99.1.1,protoporphyrin ferrochelatase,mesoporphyrin IX,Fe2+,NA,NA,NA,NA,mesoheme IX,H+,NA,NA,NA,NA,NA,NA
17830,4.99.1.1,protoporphyrin ferrochelatase,porphyrin,Fe2+,NA,NA,NA,NA,heme,H+,NA,NA,NA,NA,NA,NA
17831,4.99.1.1,protoporphyrin ferrochelatase,deuteroporphyrin,Fe2+,NA,NA,NA,NA,protoheme,H+,NA,NA,NA,NA,NA,NA
17832,1.2.1.12,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),D-glyceraldehyde 3-phosphate,phosphate,"C6-(4-(2,2,6,6-tetramethyl-piperidinyl-1-oxyl))-NAD+",NA,NA,NA,3-phospho-D-glyceroyl phosphate,"C6-(4-(2,2,6,6-tetramethyl-piperidinyl-1-oxyl))-NADH",H+,NA,NA,NA,NA,NA
17833,1.7.2.3,trimethylamine-N-oxide reductase,trimethylamine N-oxide,oxidized benzyl viologen,H+,NA,NA,NA,trimethylamine,reduced benzyl viologen,H2O,NA,NA,NA,NA,NA
17834,1.2.7.5,aldehyde ferredoxin oxidoreductase,salicylaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,salicylic acid,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17835,1.2.99.6,carboxylate reductase,salicylaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,salicylic acid,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17836,1.2.99.7,aldehyde dehydrogenase (FAD-independent),salicylaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,salicylic acid,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17837,1.2.7.5,aldehyde ferredoxin oxidoreductase,crotonaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,pyruvate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17838,1.2.7.5,aldehyde ferredoxin oxidoreductase,indoleacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,indoleacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17839,1.2.7.B2,formaldehyde ferredoxin oxidoreductase,indoleacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,indoleacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17840,1.2.99.6,carboxylate reductase,indoleacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,indoleacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17841,1.2.7.B3,aldehyde oxidoreductase WOR5,isobutyraldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,isobutyrate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17842,1.2.7.B3,aldehyde oxidoreductase WOR5,2-methylvaleraldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,2-methylvalerate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17843,1.2.7.5,aldehyde ferredoxin oxidoreductase,isovalerylaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,isovalerate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17844,1.2.99.6,carboxylate reductase,isovalerylaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,isovalerate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17845,1.2.7.B3,aldehyde oxidoreductase WOR5,2-naphthaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,2-naphthoate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17846,1.2.7.B3,aldehyde oxidoreductase WOR5,2-ethylhexanal,H2O,oxidized benzyl viologen,NA,NA,NA,2-ethylhexanoate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17847,1.2.7.B3,aldehyde oxidoreductase WOR5,2-methylbutyraldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,2-methylbutyrate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17848,1.2.7.5,aldehyde ferredoxin oxidoreductase,phenylpropionaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,phenylpropanoate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17849,1.2.7.B2,formaldehyde ferredoxin oxidoreductase,phenylpropionaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,phenylpropionate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17850,1.2.7.B3,aldehyde oxidoreductase WOR5,3-phenylbutyraldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,3-phenylbutyrate,reduced benzyl viologen,H+,NA,NA,NA,NA,NA
17851,1.2.7.5,aldehyde ferredoxin oxidoreductase,phenylacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,phenylacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17852,1.2.99.6,carboxylate reductase,phenylacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,phenylacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17853,1.2.99.7,aldehyde dehydrogenase (FAD-independent),phenylacetaldehyde,H2O,oxidized benzyl viologen,NA,NA,NA,phenylacetate,H+,reduced benzyl viologen,NA,NA,NA,NA,NA
17854,1.12.99.6,hydrogenase (acceptor),H2,oxidized benzyl viologen,NA,NA,NA,NA,H+,reduceded benzyl viologen,NA,NA,NA,NA,NA,NA
17855,1.14.19.69,biflaviolin synthase,flaviolin,reduced ferredoxin [iron-sulfur] cluster,H+,O2,NA,NA,"3,3'-biflaviolin","3,8'-biflaviolin",oxidized ferredoxin [iron-sulfur] cluster,H2O,NA,NA,NA,NA
17856,3.1.2.6,hydroxyacylglutathione hydrolase,S-hydroxyglutaryltrypanothione,H2O,NA,NA,NA,NA,hydroxyglutarate,trypanothione,H+,NA,NA,NA,NA,NA
17857,3.1.2.6,hydroxyacylglutathione hydrolase,S-propionyltrypanothione,H2O,NA,NA,NA,NA,propionate,trypanothione,H+,NA,NA,NA,NA,NA
17858,1.14.13.1,salicylate 1-monooxygenase,"2,4-dihydroxybenzoate",NADPH,H+,O2,NA,NA,"benzene-1,2,4-triol",NAD+,H2O,CO2,NA,NA,NA,NA
17859,1.14.14.29,25/26-hydroxycholesterol 7alpha-hydroxylase,dehydroepiandrosterone,NADPH,H+,o2,NA,NA,7alpha-hydroxy-dehydroepiandrosterone,NA,NA,NA,NA,NA,NA,NA
17860,1.14.14.18,heme oxygenase (biliverdin-producing),Co-heme,NADPH,H+,O2,NA,NA,biliverdin Ixalpha,Co2+,CO,NAD+,H2O,NA,NA,NA
17861,1.14.14.18,heme oxygenase (biliverdin-producing),hematoheme,NADPH,H+,O2,NA,NA,hematobiliverdin Fe2+,CO,NAD+,H2O,NA,NA,NA,NA
17862,1.14.13.92,phenylacetone monooxygenase,3-phenyl-2-butanone,NADPH,H+,O2,NA,NA,(R)-3-phenylbutan-2-one,(S)-1-phenyethyl acetate,NA,NA,NA,NA,NA,NA
17863,1.14.13.8,flavin-containing monooxygenase,trimethylamine,NADPH,H+,O2,NA,NA,trimethylamine N-oxide,NADPH,H+,O2,NA,NA,NA,NA
17864,1.14.13.8,flavin-containing monooxygenase,methimazole,NADPH,H+,O2,NA,NA,methimazole S-oxide,NADPH,H+,O2,NA,NA,NA,NA
17865,1.1.1.146,11beta-hydroxysteroid dehydrogenase,bupropion,NADPH,H+,NA,NA,NA,threohydrobupropion,NA,NA,NA,NA,NA,NA,NA
17866,1.1.1.184,carbonyl reductase (NADPH),ethyl 2-oxo-3-phenylpyruvate,NADPH,H+,NA,NA,NA,ethyl 2-hydroxy-3-phenylpyruvate,NADPH,NA,NA,NA,NA,NA,NA
17867,1.3.1.77,"anthocyanidin reductase [(2R,3R)-flavan-3-ol-forming]",anthocyanidin,NADPH,H+,NA,NA,NA,epicatechin,NAD+,NA,NA,NA,NA,NA,NA
17868,1.1.1.184,carbonyl reductase (NADPH),methyl 2-oxo-4-phenylbutanoate,NADPH,H+,NA,NA,NA,methyl (R)-2-hydroxy-4-phenylbutanoate,NADPH,NA,NA,NA,NA,NA,NA
17869,1.7.1.6,azobenzene reductase,4-dimethylaminoazobenzene-2'-carboxylic acid,NADPH,H+,NA,NA,NA,anthranilate,"N,N'-dimethylamino-aniline",NAD+,NA,NA,NA,NA,NA
17870,1.2.5.3,aerobic carbon monoxide dehydrogenase,CO,NADPH,H+,H2O,NA,NA,CO2,reduced methyl viologen,NA,NA,NA,NA,NA,NA
17871,1.1.1.219,dihydroflavonol 4-reductase,benzaldehyde,NADPH,NA,NA,NA,NA,benzyl alcohol,NADPH,H+,NA,NA,NA,NA,NA
17872,1.1.1.184,carbonyl reductase (NADPH),ethyl 4-chloro-3-oxobutanoate,NADPH,H+,NA,NA,NA,ethyl (R)-4-chloro-3-hydroxybutanoate,NA,NA,NA,NA,NA,NA,NA
17873,1.1.1.B4,(R)-specific secondary alcohol dehydrogenase (NADH),ethyl 4-chloro-3-oxobutanoate,NADPH,H+,NA,NA,NA,ethyl (R)-4-chloro-3-hydroxybutanoate,NA,NA,NA,NA,NA,NA,NA
17874,1.1.1.206,tropinone reductase I,tropinone,NADPH,H+,NA,NA,NA,tropine,NADPH,H+,NA,NA,NA,NA,NA
17875,1.6.5.5,NADPH:quinone reductase,ferricytochrome,NADPH,H+,NA,NA,NA,ferrocytochrome,NADPH,NA,NA,NA,NA,NA,NA
17876,1.1.1.184,carbonyl reductase (NADPH),ethyl 2-oxo-4-phenylbutanoate,NADPH,H+,NA,NA,NA,ethyl (R)-2-hydroxy-4-phenylbutanoate,NADPH,NA,NA,NA,NA,NA,NA
17877,1.1.1.219,dihydroflavonol 4-reductase,2-methylpentanal,NADPH,NA,NA,NA,NA,2-methyl-pentan-1-ol,NADPH,H+,NA,NA,NA,NA,NA
17878,1.1.1.146,11beta-hydroxysteroid dehydrogenase,7-oxocholesterol,NADPH,H+,NA,NA,NA,7beta-hydroxycholesterol,7alpha-hydroxycholesterol,NADPH,NA,NA,NA,NA,NA
17879,1.1.1.B40,11beta-hydroxysteroid dehydrogenase (NAD+),7-oxocholesterol,NADPH,H+,NA,NA,NA,7beta-hydroxycholesterol,7alpha-hydroxycholesterol,NADPH,NA,NA,NA,NA,NA
17880,1.3.1.94,polyprenol reductase,polyprenol,NADPH,H+,NA,NA,NA,dolichol,NADPH,NA,NA,NA,NA,NA,NA
17881,1.1.1.4,"(R,R)-butanediol dehydrogenase",(R)-acetoin,NADPH,H+,NA,NA,NA,"(2R,3R)-2,3-butanediol",NAD+,NA,NA,NA,NA,NA,NA
17882,1.3.1.104,enoyl-[acyl-carrier-protein] reductase (NADPH),crotonyl-CoA,NADPH,H+,NA,NA,NA,butanoyl-CoA,NAP+,NA,NA,NA,NA,NA,NA
17883,1.3.1.B14,curacin A enoyl-acyl carrier protein reductase,crotonyl-CoA,NADPH,H+,NA,NA,NA,butanoyl-CoA,NAP+,NA,NA,NA,NA,NA,NA
17884,1.14.14.29,25/26-hydroxycholesterol 7alpha-hydroxylase,24-hydroxycholesterol,NADPH,H+,O2,NA,NA,"7alpha,24-dihydroxycholesterol",NADPH,H2O,NA,NA,NA,NA,NA
17885,1.1.1.219,dihydroflavonol 4-reductase,butanal,NADPH,NA,NA,NA,NA,butan-1-ol,NADPH,H+,NA,NA,NA,NA,NA
17886,1.18.1.2,ferredoxin-NADP+ reductase,reduced cytochrome c,NADPH,H+,NA,NA,NA,oxidized cytochrome c,NADPH,NA,NA,NA,NA,NA,NA
17887,1.3.1.74,2-alkenal reductase [NAD(P)+],4-oxo-(2E)-nonenal,NADPH,H+,NA,NA,NA,4-oxononanal,NADPH,NA,NA,NA,NA,NA,NA
17888,1.7.1.17,FMN-dependent NADH-azoreductase,orange II,NADPH,H+,NA,NA,NA,4-aminobenzene-1-sulfonic acid,1-aminonaphthalen-2-ol,NADP+,NAD+,NA,NA,NA,NA
17889,1.5.1.B5,DELTA1-piperideine-2-carboxylate/DELTA1-pyrroline-2-carboxylate reductase (NADH),cis-4-hydroxy-L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-4-cis-hydroxy-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
17890,1.5.1.B5,DELTA1-piperideine-2-carboxylate/DELTA1-pyrroline-2-carboxylate reductase (NADH),trans-4-hydroxy-L-proline,NAD+,NA,NA,NA,NA,1-pyrroline-4-trans-hydroxy-2-carboxylate,NADPH,H+,NA,NA,NA,NA,NA
17891,1.1.1.149,20alpha-hydroxysteroid dehydrogenase,benzene dihydrodiol,NADPH,H+,NA,NA,NA,"2-hydroxycyclohexa-3,5-diene-1-one",NADPH,H+,NA,NA,NA,NA,NA
17892,1.1.1.184,carbonyl reductase (NADPH),2-oxo-4-phenylbutanoate,NADPH,H+,NA,NA,NA,(R)-2-hydroxy-4-phenylbutanoate,NADPH,NA,NA,NA,NA,NA,NA
17893,1.1.1.219,dihydroflavonol 4-reductase,(2E)-hex-2-enal,NADPH,NA,NA,NA,NA,(2E)-hex-2-en-1-ol,NADPH,H+,NA,NA,NA,NA,NA
